waypoint1	waypoint2	distance_m	duration_s
"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	1332917	48012
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	999568	36108
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Place du Capitole, Toulouse, France"	1177003	39794
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Andorra la Vella, Andorra"	1337723	50743
"Parc national des Calanques, Marseille, France"	"Piazza della Signoria, Florence, Italy"	632376	24069
"Piazza San Pietro, Vatican City"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	277118	10647
"Place du Palais, Monaco-Ville, Monaco"	"Place du Capitole, Toulouse, France"	590596	19988
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	378050	13301
Old Port of Marseille	"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	398982	15306
"Place du Palais, Monaco-Ville, Monaco"	"Andorra la Vella, Andorra"	660890	26396
"Piazza San Pietro, Vatican City"	"Mont Boron, Nice, France"	698173	26221
"Place du Palais, Monaco-Ville, Monaco"	"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	679646	23378
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Palace of Westminster, London, United Kingdom"	1355458	47979
"Port Hercule, Monte Carlo, Monaco"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1443971	51240
"Palace of Westminster, London, United Kingdom"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	1597269	56368
"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	169366	7645
"Place de la Bourse, Bordeaux, France"	"Place du Capitole, Toulouse, France"	244583	8464
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Castle Hill, Nice, France"	1388194	46329
Old Port of Marseille	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	523371	20112
"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	"Place de la Comedie, Montpellier, France"	960684	34772
"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	276192	10936
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Port Hercule, Monte Carlo, Monaco"	628154	22659
"BMW Welt, Munich, Germany"	"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	837566	28734
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	1383923	49006
"Palace of Westminster, London, United Kingdom"	"Mont Boron, Nice, France"	1395850	47657
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Palace of Westminster, London, United Kingdom"	457026	18994
"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	"Grand Place, Brussels, Belgium"	211285	8766
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	1159041	39747
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	1170020	39917
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	1329830	47850
"Parc national des Calanques, Marseille, France"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	979148	35278
"Andorra la Vella, Andorra"	"Mont Boron, Nice, France"	642288	25672
"Place du Palais, Monaco-Ville, Monaco"	"Grand Place, Brussels, Belgium"	1217597	40513
"Place du Capitole, Toulouse, France"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	1124572	37775
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Pantheon, Piazza della Rotonda, Rome, Italy"	510207	18797
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	1307048	46985
"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	"Promenade des Anglais, Nice, France"	199109	9388
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	750557	26938
"Eiffel Tower, Avenue Anatole France, Paris, France"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	1155221	39592
"Place du Palais, Monaco-Ville, Monaco"	"Palace of Westminster, London, United Kingdom"	1414453	48380
"Place du Palais, Monaco-Ville, Monaco"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	468602	18425
"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	"Andorra la Vella, Andorra"	957580	37721
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1732594	57490
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Eiffel Tower, Avenue Anatole France, Paris, France"	1166201	39762
"Place de la Bourse, Bordeaux, France"	"Palace of Westminster, London, United Kingdom"	1032179	36672
"Piazza della Signoria, Florence, Italy"	"Eiffel Tower, Avenue Anatole France, Paris, France"	1154917	39469
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	1330919	47666
"Pantheon, Piazza della Rotonda, Rome, Italy"	"Mont Boron, Nice, France"	698537	26391
"Place du Capitole, Toulouse, France"	"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	1004494	35428
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Andorra la Vella, Andorra"	833190	32915
"Place du Capitole, Toulouse, France"	"Galleria Vittorio Emanuele II, Piazza del Duomo, Milan, Metropolitan City of Milan, Italy"	887286	31313
"Piazza San Pietro, Vatican City"	"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	3832	779
"Vernazza, Province of La Spezia, Italy"	"Park Plaza Victoria Amsterdam, Damrak, Amsterdam, Netherlands"	1305526	48127
"Place du Palais, Monaco-Ville, Monaco"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1443541	51119
"Port Hercule, Monte Carlo, Monaco"	"Andorra la Vella, Andorra"	660808	26386
Old Port of Marseille	"Piazza della Signoria, Florence, Italy"	629297	23934
"Vernazza, Province of La Spezia, Italy"	"Port Hercule, Monte Carlo, Monaco"	280510	13495
"Oberstdorf, Germany"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	536117	19233
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Place du Capitole, Toulouse, France"	678754	22437
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Place de la Bourse, Bordeaux, France"	472598	19624
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Crimeo 114, 6563 Mesocco, Switzerland"	1113982	38023
