waypoint1	waypoint2	distance_m	duration_s
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	1291831	45038
"Vernazza, Province of La Spezia, Italy"	"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	1015156	36572
"Place du Palais, Monaco-Ville, Monaco"	"Piazza della Signoria, Florence, Italy"	413319	16922
Old Port of Marseille	"Palatino. Via di San Gregorio, 00186 Roma, Italy"	905494	33103
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	872412	32480
"BMW Welt, Munich, Germany"	"Palace of Westminster, London, United Kingdom"	1121805	40524
"Parc national des Calanques, Marseille, France"	"Grand Place, Brussels, Belgium"	1046936	35203
"Castle Hill, Nice, France"	"Place de la Comedie, Montpellier, France"	326928	12452
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Piazza della Signoria, Florence, Italy"	278605	10709
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Promenade des Anglais, Nice, France"	436947	17778
"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	"Eiffel Tower, Avenue Anatole France, Paris, France"	838565	28942
"Piazza San Pietro, Vatican City"	"Piazza della Signoria, Florence, Italy"	276895	10578
"Castle Hill, Nice, France"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	1115546	36663
"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	1042134	38108
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Grand Place, Brussels, Belgium"	1486259	52824
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Pantheon, Piazza della Rotonda, Rome, Italy"	1356479	47725
"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	"Andorra la Vella, Andorra"	957579	37721
"Cathedrale Notre-Dame, Rue Notre Dame, Luxembourg City, Luxembourg"	"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	519527	19738
"Grauwallring 2, 27580, Bremerhaven, Germany"	"Place de la Comedie, Montpellier, France"	1396437	46683
"BMW Welt, Munich, Germany"	"Placa Sant Eudald, 9, 17500 Ripoll, Girona, Spain"	1315601	45564
"Piazza San Pietro, Vatican City"	"Eiffel Tower, Avenue Anatole France, Paris, France"	1428771	48499
"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	"Palace of Westminster, London, United Kingdom"	1295277	46649
"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	"Crimeo 114, 6563 Mesocco, Switzerland"	282644	12229
"Parc national des Calanques, Marseille, France"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	966455	32012
"Roman Forum, Via della Salara Vecchia, Rome, Metropolitan City of Rome, Italy"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	747922	27096
"Colosseum, Piazza del Colosseo, Rome, Metropolitan City of Rome, Italy"	"Pantheon, Piazza della Rotonda, Rome, Italy"	3094	582
"Piazza San Pietro, Vatican City"	"Splugenpassstrasse 104, 7435 Splugen, Switzerland"	748847	26807
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Boccadasse, Genoa, Metropolitan City of Genoa, Italy"	239352	9500
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Piazza del Duomo, Florence, Metropolitan City of Florence, Italy"	236293	9721
"Palace of Westminster, London, United Kingdom"	"Nurburgring, Nurburgring Boulevard, Nuerburg, Germany"	617348	25936
"Arc de Triomphe, Place Charles de Gaulle, Paris, France"	"Oberstdorf, Germany"	841774	28998
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	247272	9890
"Palatino. Via di San Gregorio, 00186 Roma, Italy"	"Pantheon, Piazza della Rotonda, Rome, Italy"	4717	1028
"Piazza Raffaele De Ferrari, Genoa, Metropolitan City of Genoa, Italy"	"Grand Place, Brussels, Belgium"	1040151	38023
"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	"Grauwallring 2, 27580, Bremerhaven, Germany"	1487722	49469
"La Sagrada Familia, Carrer de Mallorca, 401, 08013 Barcelona, Spain"	"Giardino Bardini, Florence, Metropolitan City of Florence, Italy"	1093544	38818
"Neuschwanstein Castle, Neuschwansteinstrabe 20, 87645 Schwangau, Germany"	"Port Hercule, Monte Carlo, Monaco"	716736	28934
"Oberstdorf, Germany"	"Milan Cathedral, Milan, Metropolitan City of Milan, Italy"	358270	17039
